步骤		状态栈		符号栈		输入串		动作说明
103		0 2 4 7 12 22 34 51 65 77 86 97 106 114 118 121 64 75 84 91 102 110 117 120		# i f S t h e n w h i l e B d o i f S t h e n S		e l s e i d = i * i e n d #		ACTION[120,e]=s124，即状态s124入栈
105		0 2 4 7 12 22 34 51 65 77 86 97 106 114 118 121 64 75 84 91 102 110 117 120 124		# i f S t h e n w h i l e B d o i f S t h e n S e		l s e i d = i * i e n d #		ACTION[124,l]=s126，即状态s126入栈
107		0 2 4 7 12 22 34 51 65 77 86 97 106 114 118 121 64 75 84 91 102 110 117 120 124 126		# i f S t h e n w h i l e B d o i f S t h e n S e l		s e i d = i * i e n d #		ACTION[126,s]=s128，即状态s128入栈
109		0 2 4 7 12 22 34 51 65 77 86 97 106 114 118 121 64 75 84 91 102 110 117 120 124 126 128		# i f S t h e n w h i l e B d o i f S t h e n S e l s		e i d = i * i e n d #		ACTION[128,e]=s130，即状态s130入栈
111		0 2 4 7 12 22 34 51 65 77 86 97 106 114 118 121 64 75 84 91 102 110 117 120 124 126 128 130		# i f S t h e n w h i l e B d o i f S t h e n S e l s e		i d = i * i e n d #		ACTION[130,i]=s64，即状态s64入栈
113		0 2 4 7 12 22 34 51 65 77 86 97 106 114 118 121 64 75 84 91 102 110 117 120 124 126 128 130 64		# i f S t h e n w h i l e B d o i f S t h e n S e l s e i		d = i * i e n d #		ACTION[64,d]=s76，即状态s76入栈
115		0 2 4 7 12 22 34 51 65 77 86 97 106 114 118 121 64 75 84 91 102 110 117 120 124 126 128 130 64 76		# i f S t h e n w h i l e B d o i f S t h e n S e l s e i d		= i * i e n d #		ACTION[76,=]=s85，即状态s85入栈
117		0 2 4 7 12 22 34 51 65 77 86 97 106 114 118 121 64 75 84 91 102 110 117 120 124 126 128 130 64 76 85		# i f S t h e n w h i l e B d o i f S t h e n S e l s e i d =		i * i e n d #		ACTION[85,i]=s96，即状态s96入栈
119		0 2 4 7 12 22 34 51 65 77 86 97 106 114 118 121 64 75 84 91 102 110 117 120 124 126 128 130 64 76 85 96		# i f S t h e n w h i l e B d o i f S t h e n S e l s e i d = i		* i e n d #		r11：用F->i归约，且GOTO[94,F]=94入栈
121		0 2 4 7 12 22 34 51 65 77 86 97 106 114 118 121 64 75 84 91 102 110 117 120 124 126 128 130 64 76 85 94		# i f S t h e n w h i l e B d o i f S t h e n S e l s e i d = F		* i e n d #		r9：用T->F归约，且GOTO[93,T]=93入栈
123		0 2 4 7 12 22 34 51 65 77 86 97 106 114 118 121 64 75 84 91 102 110 117 120 124 126 128 130 64 76 85 93		# i f S t h e n w h i l e B d o i f S t h e n S e l s e i d = T		* i e n d #		ACTION[93,*]=s104，即状态s104入栈
125		0 2 4 7 12 22 34 51 65 77 86 97 106 114 118 121 64 75 84 91 102 110 117 120 124 126 128 130 64 76 85 93 104		# i f S t h e n w h i l e B d o i f S t h e n S e l s e i d = T *		i e n d #		ACTION[104,i]=s96，即状态s96入栈
127		0 2 4 7 12 22 34 51 65 77 86 97 106 114 118 121 64 75 84 91 102 110 117 120 124 126 128 130 64 76 85 93 104 96		# i f S t h e n w h i l e B d o i f S t h e n S e l s e i d = T * i		e n d #		r11：用F->i归约，且GOTO[112,F]=112入栈
129		0 2 4 7 12 22 34 51 65 77 86 97 106 114 118 121 64 75 84 91 102 110 117 120 124 126 128 130 64 76 85 93 104 112		# i f S t h e n w h i l e B d o i f S t h e n S e l s e i d = T * F		e n d #		r8：用T->T*F归约，且GOTO[93,T]=93入栈
131		0 2 4 7 12 22 34 51 65 77 86 97 106 114 118 121 64 75 84 91 102 110 117 120 124 126 128 130 64 76 85 93		# i f S t h e n w h i l e B d o i f S t h e n S e l s e i d = T		e n d #		r7：用E->T归约，且GOTO[92,E]=92入栈
133		0 2 4 7 12 22 34 51 65 77 86 97 106 114 118 121 64 75 84 91 102 110 117 120 124 126 128 130 64 76 85 92		# i f S t h e n w h i l e B d o i f S t h e n S e l s e i d = E		e n d #		r4：用S->id=E归约，且GOTO[131,S]=131入栈
135		0 2 4 7 12 22 34 51 65 77 86 97 106 114 118 121 64 75 84 91 102 110 117 120 124 126 128 130 131		# i f S t h e n w h i l e B d o i f S t h e n S e l s e S		e n d #		r2：用R->elseS归约，且GOTO[123,R]=123入栈
137		0 2 4 7 12 22 34 51 65 77 86 97 106 114 118 121 64 75 84 91 102 110 117 120 123		# i f S t h e n w h i l e B d o i f S t h e n S R		e n d #		r1：用S->ifSthenSR归约，且GOTO[125,S]=125入栈
139		0 2 4 7 12 22 34 51 65 77 86 97 106 114 118 121 125		# i f S t h e n w h i l e B d o S		e n d #		r5：用S->whileBdoS归约，且GOTO[63,S]=63入栈
141		0 2 4 7 12 22 34 51 63		# i f S t h e n S		e n d #		ACTION[63,e]=s74，即状态s74入栈
143		0 2 4 7 12 22 34 51 63 74		# i f S t h e n S e		n d #		ACTION[74,n]=s83，即状态s83入栈
145		0 2 4 7 12 22 34 51 63 74 83		# i f S t h e n S e n		d #		ACTION[83,d]=s90，即状态s90入栈
147		0 2 4 7 12 22 34 51 63 74 83 90		# i f S t h e n S e n d		#		r3：用R->end归约，且GOTO[73,R]=73入栈
149		0 2 4 7 12 22 34 51 63 73		# i f S t h e n S R		#		r1：用S->ifSthenSR归约，且GOTO[1,S]=1入栈
151		0 1		# S		#		acc：分析成功
